ID,AssetManufacture,AssetModel,AssetNumber,AssetParentNumber,AssetAccountingNumber,AssetSerialNumber,AssetPartNumber,AssetTypeName,PriorityName,AssetHostName,AssetOS,AssetCPU,AssetRam,AssetHarddisk,AssetIPAddress,AssetMAC,AssetDetail,Remark,AssetLocation,Status,BuyingName,AssetPO,AssetRegisterDate,AssetBuyDate,AssetPriceEx,AssetVAT,AssetVATValue,AssetPrice,AssetAccumulatedDepreciation,AssetSalvageValue,curentDepreciate,B/L Acumulate Depreciate,B/L Asset Value,AssetWriteOffDate,MAMonth,StartMA,AssetEndWarrantyDate,WarrantyStatus,Contract,AssetQuantity,BranchGroup,BranchCode,Branch,ZoneCode,Zone,SupplierCode,Supplier,SupplierCode_2,Supplier_2,Owner,Coset Center Description,CostType,Company,Department,TotalExpense,LastSync,Update By,Update Date,Update Remark,TotalTask,
10451,DELIGHT,DLEX-RLG3,400B01-EE-EXL-1.FL-0064,,,N/A,,Exit Sign Light,,,,,,,,,Exit Sign Light FL1 No.64,,,In Use,,,16-07-24,,0,0,0,0,0,1,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B01-F1,โรงพยาบาล 400B - ชั้น 1,,,,,,,,,,CRA,,,,Nattapon,16-07-24,,0,-
10452,DELIGHT,DLEX-RLG3,400B01-EE-EXL-1.FL-0065,,,N/A,,Exit Sign Light,,,,,,,,,Exit Sign Light FL1 No.65,,,In Use,,,16-07-24,,0,0,0,0,0,1,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B01-F1,โรงพยาบาล 400B - ชั้น 1,,,,,,,,,,CRA,,,,Nattapon,16-07-24,,0,-
10453,DELIGHT,DLEX-RLG3,400B01-EE-EXL-1.FL-0066,,,N/A,,Exit Sign Light,,,,,,,,,Exit Sign Light FL1 No.66,,,In Use,,,16-07-24,,0,0,0,0,0,1,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B01-F1,โรงพยาบาล 400B - ชั้น 1,,,,,,,,,,CRA,,,,Nattapon,16-07-24,,0,-
10454,DELIGHT,DLEX-RLG3,400B01-EE-EXL-1.FL-0067,,,N/A,,Exit Sign Light,,,,,,,,,Exit Sign Light FL1 No.67,,,In Use,,,16-07-24,,0,0,0,0,0,1,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B01-F1,โรงพยาบาล 400B - ชั้น 1,,,,,,,,,,CRA,,,,Nattapon,16-07-24,,0,-
10455,DELIGHT,DLEX-RLG3,400B01-EE-EXL-1.FL-0068,,,N/A,,Exit Sign Light,,,,,,,,,Exit Sign Light FL1 No.68,,,In Use,,,16-07-24,,0,0,0,0,0,1,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B01-F1,โรงพยาบาล 400B - ชั้น 1,,,,,,,,,,CRA,,,,Nattapon,16-07-24,,0,-
10456,DELIGHT,DLEX-RLG3,400B01-EE-EXL-1.FL-0069,,,N/A,,Exit Sign Light,,,,,,,,,Exit Sign Light FL1 No.69,,,In Use,,,16-07-24,,0,0,0,0,0,1,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B01-F1,โรงพยาบาล 400B - ชั้น 1,,,,,,,,,,CRA,,,,Nattapon,16-07-24,,0,-
10457,DELIGHT,DLEX-RLG3,400B01-EE-EXL-1.FL-0070,,,N/A,,Exit Sign Light,,,,,,,,,Exit Sign Light FL1 No.70,,,In Use,,,16-07-24,,0,0,0,0,0,1,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B01-F1,โรงพยาบาล 400B - ชั้น 1,,,,,,,,,,CRA,,,,Nattapon,16-07-24,,0,-
10458,DELIGHT,DLEX-RLG3,400B01-EE-EXL-1.FL-0071,,,N/A,,Exit Sign Light,,,,,,,,,Exit Sign Light FL1 No.71,,,In Use,,,16-07-24,,0,0,0,0,0,1,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B01-F1,โรงพยาบาล 400B - ชั้น 1,,,,,,,,,,CRA,,,,Nattapon,16-07-24,,0,-
10459,DELIGHT,DLEX-RLG3,400B01-EE-EXL-1.FL-0072,,,N/A,,Exit Sign Light,,,,,,,,,Exit Sign Light FL1 No.72,,,In Use,,,16-07-24,,0,0,0,0,0,1,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B01-F1,โรงพยาบาล 400B - ชั้น 1,,,,,,,,,,CRA,,,,Nattapon,16-07-24,,0,-
10460,DELIGHT,DLEX-RLG3,400B01-EE-EXL-1.FL-0073,,,N/A,,Exit Sign Light,,,,,,,,,Exit Sign Light FL1 No.73,,,In Use,,,16-07-24,,0,0,0,0,0,1,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์400เตียง,400B01-F1,โรงพยาบาล 400B - ชั้น 1,,,,,,,,,,CRA,,,,Nattapon,16-07-24,,0,-
