AssetManufacture,AssetModel,AssetNumber,AssetSerialNumber,AssetPartNumber,AssetTypeName,PriorityName,AssetHostName,AssetOS,AssetCPU,AssetRam,AssetHarddisk,AssetIPAddress,AssetMAC,AssetDetail,Remark,AssetLocation,Status,BuyingName,AssetPO,AssetRegisterDate,AssetBuyDate,AssetPriceEx,AssetVAT,AssetVATValue,AssetPrice,AssetAccumulatedDepreciation,AssetSalvageValue,AssetWriteOffDate,NumOfMonthWarranty,AssetStartWarrantyDate,AssetEndWarrantyDate,AssetQuantity,Branch,Zone,Supplier,Owner,CostCenter,CostType,Company,Department,AssetLatLong,AssetGoogleMapUrl
-,-,400B02-EE-AREA-5.FL-0003,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้น5,,,,,,CRA,,,
-,-,400B02-EE-AREA-5.FL-0004,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้น5,,,,,,CRA,,,
-,-,400B02-EE-AREA-6.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้น6,,,,,,CRA,,,
-,-,400B02-EE-AREA-6.FL-0002,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้น6,,,,,,CRA,,,
-,-,400B02-EE-AREA-6.FL-0003,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้น6,,,,,,CRA,,,
-,-,400B02-EE-AREA-6.FL-0004,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้น6,,,,,,CRA,,,
-,-,400B02-EE-AREA-7.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้น7,,,,,,CRA,,,
-,-,400B02-EE-AREA-7.FL-0002,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้น7,,,,,,CRA,,,
-,-,400B02-EE-AREA-7.FL-0003,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้น7,,,,,,CRA,,,
-,-,400B02-EE-AREA-7.FL-0004,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้น7,,,,,,CRA,,,
-,-,400B02-EE-AREA-8.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้น8,,,,,,CRA,,,
-,-,400B02-EE-AREA-8.FL-0002,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้น8,,,,,,CRA,,,
-,-,400B02-EE-AREA-8.FL-0003,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้น8,,,,,,CRA,,,
-,-,400B02-EE-AREA-8.FL-0004,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้น8,,,,,,CRA,,,
-,-,400B02-EE-AREA-9.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้น9,,,,,,CRA,,,
-,-,400B02-EE-AREA-9.FL-0002,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้น9,,,,,,CRA,,,
-,-,400B02-EE-AREA-9.FL-0003,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้น9,,,,,,CRA,,,
-,-,400B02-EE-AREA-9.FL-0004,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้น9,,,,,,CRA,,,
-,-,400B02-EE-AREA-9M.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้น9M,,,,,,CRA,,,
-,-,400B02-EE-AREA-9M.FL-0002,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้น9M,,,,,,CRA,,,
-,-,400B02-EE-AREA-10.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้น10,,,,,,CRA,,,
-,-,400B02-EE-AREA-10.FL-0002,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้น10,,,,,,CRA,,,
-,-,400B02-EE-AREA-11.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้น11,,,,,,CRA,,,
-,-,400B02-EE-AREA-11.FL-0002,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้น11,,,,,,CRA,,,
-,-,400B02-EE-AREA-12.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้น12,,,,,,CRA,,,
-,-,400B02-EE-AREA-12.FL-0002,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิทยาลัย 400B-ชั้น12,,,,,,CRA,,,
-,-,400B03-EE-AREA-B2.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,หอพักฯ 400B-ชั้น B2,,,,,,CRA,,,
-,-,400B03-EE-AREA-B2.FL-0002,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,หอพักฯ 400B-ชั้น B2,,,,,,CRA,,,
-,-,400B03-EE-AREA-B1.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,หอพักฯ 400B-ชั้น B1,,,,,,CRA,,,
-,-,400B03-EE-AREA-B1.FL-0002,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,หอพักฯ 400B-ชั้น B1,,,,,,CRA,,,
-,-,400B03-EE-AREA-1.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,หอพักฯ 400B-ชั้น 1,,,,,,CRA,,,
-,-,400B03-EE-AREA-2.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,หอพักฯ 400B-ชั้น 2,,,,,,CRA,,,
-,-,400B03-EE-AREA-3.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,หอพักฯ 400B-ชั้น 3,,,,,,CRA,,,
-,-,400B03-EE-AREA-4.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,หอพักฯ 400B-ชั้น 4,,,,,,CRA,,,
-,-,400B03-EE-AREA-5.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,หอพักฯ 400B-ชั้น 5,,,,,,CRA,,,
-,-,400B03-EE-AREA-6.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,หอพักฯ 400B-ชั้น 6,,,,,,CRA,,,
-,-,400B03-EE-AREA-7.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,หอพักฯ 400B-ชั้น 7,,,,,,CRA,,,
-,-,400B03-EE-AREA-8.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,หอพักฯ 400B-ชั้น 8,,,,,,CRA,,,
-,-,400B03-EE-AREA-9.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,หอพักฯ 400B-ชั้น 9,,,,,,CRA,,,
-,-,400B03-EE-AREA-10.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,หอพักฯ 400B-ชั้น 10,,,,,,CRA,,,
-,-,400B03-EE-AREA-11.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,หอพักฯ 400B-ชั้น 11,,,,,,CRA,,,
-,-,400B03-EE-AREA-12.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,หอพักฯ 400B-ชั้น 12,,,,,,CRA,,,
-,-,400B03-EE-AREA-13.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,หอพักฯ 400B-ชั้น 13,,,,,,CRA,,,
-,-,400B03-EE-AREA-14.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,หอพักฯ 400B-ชั้น 14,,,,,,CRA,,,
-,-,400B03-EE-AREA-15.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,หอพักฯ 400B-ชั้น 15,,,,,,CRA,,,
-,-,400B03-EE-AREA-16.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,หอพักฯ 400B-ชั้น 16,,,,,,CRA,,,
-,-,400B03-EE-AREA-17.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,หอพักฯ 400B-ชั้น 17,,,,,,CRA,,,
-,-,400B03-EE-AREA-18.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,หอพักฯ 400B-ชั้น 18,,,,,,CRA,,,
-,-,400B03-EE-AREA-RF.FL-0001,,,Electrical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,หอพักฯ 400B-ชั้น RF,,,,,,CRA,,,
