ID,AssetManufacture,AssetModel,AssetNumber,AssetParentNumber,AssetAccountingNumber,AssetSerialNumber,AssetPartNumber,AssetTypeName,PriorityName,AssetHostName,AssetOS,AssetCPU,AssetRam,AssetHarddisk,AssetIPAddress,AssetMAC,AssetDetail,Remark,AssetLocation,Status,BuyingName,AssetPO,AssetRegisterDate,AssetBuyDate,AssetPriceEx,AssetVAT,AssetVATValue,AssetPrice,AssetAccumulatedDepreciation,AssetSalvageValue,curentDepreciate,"B/L Acumulate Depreciate","B/L Asset Value",AssetWriteOffDate,MAMonth,StartMA,AssetEndWarrantyDate,WarrantyStatus,Contract,AssetQuantity,BranchGroup,BranchCode,Branch,ZoneCode,Zone,SupplierCode,Supplier,SupplierCode_2,Supplier_2,Owner,"Coset Center Description",CostType,Company,Department,TotalExpense,LastSync,"Update By","Update Date","Update Remark",TotalTask
880,N/A,01,100B01-WWT-AT-1.FL-001,,100B-AT-1FL-001,,,"Aerator Pump",,,,,,,,,"Aerator pump No.01",,FL.1,"In Use",,,2022-08-29,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
881,N/A,02,100B01-WWT-AT-1.FL-002,,100B-AT-1FL-002,,,"Aerator Pump",,,,,,,,,"Aerator pump No.02",,FL.1,"In Use",,,2022-08-29,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
882,N/A,03,100B01-WWT-AT-1.FL-003,,100B-AT-1FL-003,,,"Aerator Pump",,,,,,,,,"Aerator pump No.03",,FL.1,"In Use",,,2022-08-29,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
883,N/A,04,100B01-WWT-AT-1.FL-004,,100B-AT-1FL-004,,,"Aerator Pump",,,,,,,,,"Aerator pump No.04",,FL.1,"In Use",,,2022-08-29,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
884,N/A,05,100B01-WWT-AT-1.FL-005,,100B-AT-1FL-005,,,"Aerator Pump",,,,,,,,,"Aerator pump No.05",,FL.1,"In Use",,,2022-08-29,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
885,N/A,06,100B01-WWT-AT-1.FL-006,,100B-AT-1FL-006,,,"Aerator Pump",,,,,,,,,"Aerator pump No.06",,FL.1,"In Use",,,2022-08-29,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
