ID,AssetManufacture,AssetModel,AssetNumber,AssetParentNumber,AssetAccountingNumber,AssetSerialNumber,AssetPartNumber,AssetTypeName,PriorityName,AssetHostName,AssetOS,AssetCPU,AssetRam,AssetHarddisk,AssetIPAddress,AssetMAC,AssetDetail,Remark,AssetLocation,Status,BuyingName,AssetPO,AssetRegisterDate,AssetBuyDate,AssetPriceEx,AssetVAT,AssetVATValue,AssetPrice,AssetAccumulatedDepreciation,AssetSalvageValue,curentDepreciate,"B/L Acumulate Depreciate","B/L Asset Value",AssetWriteOffDate,MAMonth,StartMA,AssetEndWarrantyDate,WarrantyStatus,Contract,AssetQuantity,BranchGroup,BranchCode,Branch,ZoneCode,Zone,SupplierCode,Supplier,SupplierCode_2,Supplier_2,Owner,"Coset Center Description",CostType,Company,Department,TotalExpense,LastSync,"Update By","Update Date","Update Remark",TotalTask
879,N/A,12,100B01-SN-WWT-1.FL-012,,100B-TSP-1FL-012,,,"Waste Water Treatment Pump",,,,,,,,,"Treatment Submersible pump No.12 WATER DETENTION",,FL.1,"In Use",,,2022-08-29,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-F1,"โรงพยาบาล 100B - ชั้น 1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
914,N/A,01,100B01-SN-CP-B1.FL-001,,100B-CP-BFL-001,,,"Chemical Feed Pump",,,,,,,,,"CHEMICAL DIAPHRAGM No.01",,FL.B,"In Use",,,2022-08-29,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FB1,"โรงพยาบาล 100B - ชั้น B1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
915,N/A,02,100B01-SN-CP-B1.FL-002,,100B-CP-BFL-002,,,"Chemical Feed Pump",,,,,,,,,"CHEMICAL DIAPHRAGM No.02",,FL.B,"In Use",,,2022-08-29,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FB1,"โรงพยาบาล 100B - ชั้น B1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
916,N/A,03,100B01-SN-CP-B1.FL-003,,100B-CP-BFL-003,,,"Chemical Feed Pump",,,,,,,,,"CHEMICAL DIAPHRAGM No.03",,FL.B,"In Use",,,2022-08-29,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FB1,"โรงพยาบาล 100B - ชั้น B1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
917,N/A,01,100B01-SN-TRS-B1.FL-001,,100B-TRS-BFL-001,,,"Toilet Room",,,,,,,,,"TOILET ROOM No.01",,FL.B,"In Use",,,2022-08-29,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FB1,"โรงพยาบาล 100B - ชั้น B1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,undefined
918,N/A,02,100B01-SN-TRS-B1.FL-002,,100B-TRS-BFL-002,,,"Toilet Room",,,,,,,,,"TOILET ROOM No.02",,FL.B,"In Use",,,2022-08-29,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FB1,"โรงพยาบาล 100B - ชั้น B1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,undefined
919,N/A,03,100B01-SN-TRS-B1.FL-003,,100B-TRS-BFL-003,,,"Toilet Room",,,,,,,,,"TOILET ROOM No.03",,FL.B,"In Use",,,2022-08-29,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FB1,"โรงพยาบาล 100B - ชั้น B1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,undefined
920,N/A,04,100B01-SN-TRS-B1.FL-004,,100B-TRS-BFL-004,,,"Toilet Room",,,,,,,,,"TOILET ROOM No.04",,FL.B,"In Use",,,2022-08-29,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FB1,"โรงพยาบาล 100B - ชั้น B1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,undefined
921,N/A,05,100B01-SN-TRS-B1.FL-005,,100B-TRS-BFL-005,,,"Toilet Room",,,,,,,,,"TOILET ROOM No.05",,FL.B,"In Use",,,2022-08-29,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FB1,"โรงพยาบาล 100B - ชั้น B1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,undefined
922,N/A,06,100B01-SN-TRS-B1.FL-006,,100B-TRS-BFL-006,,,"Toilet Room",,,,,,,,,"TOILET ROOM No.06",,FL.B,"In Use",,,2022-08-29,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FB1,"โรงพยาบาล 100B - ชั้น B1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,undefined
923,N/A,07,100B01-SN-TRS-B1.FL-007,,100B-TRS-BFL-007,,,"Toilet Room",,,,,,,,,"TOILET ROOM No.07",,FL.B,"In Use",,,2022-08-29,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FB1,"โรงพยาบาล 100B - ชั้น B1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,undefined
924,N/A,08,100B01-SN-TRS-B1.FL-008,,100B-TRS-BFL-008,,,"Toilet Room",,,,,,,,,"TOILET ROOM No.08",,FL.B,"In Use",,,2022-08-29,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FB1,"โรงพยาบาล 100B - ชั้น B1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,undefined
925,N/A,09,100B01-SN-TRS-B1.FL-009,,100B-TRS-BFL-009,,,"Toilet Room",,,,,,,,,"TOILET ROOM No.09",,FL.B,"In Use",,,2022-08-29,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FB1,"โรงพยาบาล 100B - ชั้น B1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,undefined
