ID,AssetManufacture,AssetModel,AssetNumber,AssetParentNumber,AssetAccountingNumber,AssetSerialNumber,AssetPartNumber,AssetTypeName,PriorityName,AssetHostName,AssetOS,AssetCPU,AssetRam,AssetHarddisk,AssetIPAddress,AssetMAC,AssetDetail,Remark,AssetLocation,Status,BuyingName,AssetPO,AssetRegisterDate,AssetBuyDate,AssetPriceEx,AssetVAT,AssetVATValue,AssetPrice,AssetAccumulatedDepreciation,AssetSalvageValue,curentDepreciate,"B/L Acumulate Depreciate","B/L Asset Value",AssetWriteOffDate,MAMonth,StartMA,AssetEndWarrantyDate,WarrantyStatus,Contract,AssetQuantity,BranchGroup,BranchCode,Branch,ZoneCode,Zone,SupplierCode,Supplier,SupplierCode_2,Supplier_2,Owner,"Coset Center Description",CostType,Company,Department,TotalExpense,LastSync,"Update By","Update Date","Update Remark",TotalTask
1103,CARRIER,42CH004BW2R0,100B01-HVAC-FCU-B1.FL-009,,100B-FCU-BFL-009,44VF1408723,,"Fan Coil Unit",,,,,,,,,"FANCOIL UNIT No.09 CAPACITY 12,450 BTU ห้อง THYRODUPTAKETEST",,FL.B,"In Use",,,2022-08-31,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FB1,"โรงพยาบาล 100B - ชั้น B1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
1104,CARRIER,42CH006W3RP,100B01-HVAC-FCU-B1.FL-010,,100B-FCU-BFL-010,44VH7279478,,"Fan Coil Unit",,,,,,,,,"FANCOIL UNIT No.10 CAPACITY 19,450 BTU ห้อง พักฟื้นในห้องแร่รังสี",,FL.B,"In Use",,,2022-08-31,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FB1,"โรงพยาบาล 100B - ชั้น B1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
1105,CARRIER,42CH012W3LP,100B01-HVAC-FCU-B1.FL-011,,100B-FCU-BFL-011,44VL7288901,,"Fan Coil Unit",,,,,,,,,"FANCOIL UNIT No.11 CAPACITY 37,360 BTU ห้องโถงแร่รังสี",,FL.B,"In Use",,,2022-08-31,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FB1,"โรงพยาบาล 100B - ชั้น B1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
1106,CARRIER,42CH008WLP,100B01-HVAC-FCU-B1.FL-012,,100B-FCU-BFL-012,44VL7288877,,"Fan Coil Unit",,,,,,,,,"FANCOIL UNIT No.12 CAPACITY 24,290 BTU ห้องจ่ายไฟ",,FL.B,"In Use",,,2022-08-31,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FB1,"โรงพยาบาล 100B - ชั้น B1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
1107,CARRIER,42CH008W3RP,100B01-HVAC-FCU-B1.FL-013,,100B-FCU-BFL-013,44VL7288878,,"Fan Coil Unit",,,,,,,,,"FANCOIL UNIT No.13 CAPACITY 24,290 BTU ห้องจ่ายไฟ",,FL.B,"In Use",,,2022-08-31,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FB1,"โรงพยาบาล 100B - ชั้น B1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
1108,CARRIER,N/A,100B01-HVAC-FCU-B1.FL-014,,100B-FCU-BFL-014,,,"Fan Coil Unit",,,,,,,,,"FANCOIL UNIT No.14 ห้องจ่ายไฟ",,FL.B,"In Use",,,2022-08-31,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FB1,"โรงพยาบาล 100B - ชั้น B1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
1109,CARRIER,42CH012W3LP,100B01-HVAC-FCU-B1.FL-015,,100B-FCU-BFL-015,44VL7288883,,"Fan Coil Unit",,,,,,,,,"FANCOIL UNIT No.15 CAPACITY 37,360BTU ทางเดินหน้าห้องเวชศาสตร์นิวเคลียร์",,FL.B,"In Use",,,2022-08-31,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FB1,"โรงพยาบาล 100B - ชั้น B1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
1110,CARRIER,42CH004W3LP,100B01-HVAC-FCU-B1.FL-016,,100B-FCU-BFL-016,44VH7279475,,"Fan Coil Unit",,,,,,,,,"FANCOIL UNIT No.16 CAPACITY 12,100 BTU ห้องจ่ายไฟ",,FL.B,"In Use",,,2022-08-31,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FB1,"โรงพยาบาล 100B - ชั้น B1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
1111,CARRIER,42CH010W3LP,100B01-HVAC-FCU-B1.FL-017,,100B-FCU-BFL-017,44VH7279479,,"Fan Coil Unit",,,,,,,,,"FANCOIL UNIT No.17 CAPACITY 30,570 BTU ห้องพักฟื้นในห้องแร่รังสี",,FL.B,"In Use",,,2022-08-31,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FB1,"โรงพยาบาล 100B - ชั้น B1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
1112,CARRIER,42CH006W3LP,100B01-HVAC-FCU-B1.FL-018,,100B-FCu-BFL-018,44VL7288875,,"Fan Coil Unit",,,,,,,,,"FANCOIL UNIT No.18 CAPACITY 19,450 BTU ห้องให้การพยาบาล",,FL.B,"In Use",,,2022-08-31,,0.00,7.00,0.00,0.00,0.00,1.00,0,0,0,,,,,undefine,,1,โรงพยาบาลจุฬาภรณ์100เตียง,100B01-FB1,"โรงพยาบาล 100B - ชั้น B1",,,,,,,,,,CRA,,,,arthonye,2024-06-23,,0,-
