AssetManufacture,AssetModel,AssetNumber,AssetSerialNumber,AssetPartNumber,AssetTypeName,PriorityName,AssetHostName,AssetOS,AssetCPU,AssetRam,AssetHarddisk,AssetIPAddress,AssetMAC,AssetDetail,Remark,AssetLocation,Status,BuyingName,AssetPO,AssetRegisterDate,AssetBuyDate,AssetPriceEx,AssetVAT,AssetVATValue,AssetPrice,AssetAccumulatedDepreciation,AssetSalvageValue,AssetWriteOffDate,NumOfMonthWarranty,AssetStartWarrantyDate,AssetEndWarrantyDate,AssetQuantity,Branch,Zone,Supplier,Owner,CostCenter,CostType,Company,Department,AssetLatLong,AssetGoogleMapUrl
,,100B02-EE-EML-1.FL-0001,,,Emergency Light,,,,,,,,,Emergency Light No.01,,ชั้น 1 | Zone A,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 1,,,,,,CRA,,,
,,100B02-EE-EML-1.FL-0002,,,Emergency Light,,,,,,,,,Emergency Light No.02,,ชั้น 1 | Zone A,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 1,,,,,,CRA,,,
,,100B02-EE-EML-1.FL-0003,,,Emergency Light,,,,,,,,,Emergency Light No.03,,ชั้น 1 | Zone B,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 1,,,,,,CRA,,,
,,100B02-EE-EML-1.FL-0004,,,Emergency Light,,,,,,,,,Emergency Light No.04,,ชั้น 1 | Zone B,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 1,,,,,,CRA,,,
,,100B02-EE-EML-1.FL-0005,,,Emergency Light,,,,,,,,,Emergency Light No.05,,ชั้น 1 | บันไดหนีไฟลานจอด,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 1,,,,,,CRA,,,
,,100B02-EE-EML-1.FL-0006,,,Emergency Light,,,,,,,,,Emergency Light No.06,,ชั้น 1 | หน้าลิฟต์เจ้าหน้าที่,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 1,,,,,,CRA,,,
,,100B02-EE-EML-1.FL-0007,,,Emergency Light,,,,,,,,,Emergency Light No.07,,ชั้น 1 | หน้าลิฟต์ขนของ,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 1,,,,,,CRA,,,
,,100B02-EE-EML-1.FL-0008,,,Emergency Light,,,,,,,,,Emergency Light No.08,,ชั้น 1 | โถงตู้กดกาแฟอัตโนมัติ,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 1,,,,,,CRA,,,
,,100B02-EE-EML-1.FL-0009,,,Emergency Light,,,,,,,,,Emergency Light No.09,,ชั้น 1 | ทางหนีไฟ ระหว่างชั้น 1-2A,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 1,,,,,,CRA,,,
,,100B02-EE-EML-2.FL-0001,,,Emergency Light,,,,,,,,,Emergency Light No.10,,ชั้น 2 | Zone B,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 2,,,,,,CRA,,,
,,100B02-EE-EML-2.FL-0002,,,Emergency Light,,,,,,,,,Emergency Light No.11,,ชั้น 2 | Zone B,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 2,,,,,,CRA,,,
,,100B02-EE-EML-2.FL-0003,,,Emergency Light,,,,,,,,,Emergency Light No.12,,ชั้น 2 | Zone B,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 2,,,,,,CRA,,,
,,100B02-EE-EML-2.FL-0004,,,Emergency Light,,,,,,,,,Emergency Light No.13,,ชั้น 2 | Zone A,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 2,,,,,,CRA,,,
,,100B02-EE-EML-2.FL-0005,,,Emergency Light,,,,,,,,,Emergency Light No.14,,ชั้น 2 | Zone A,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 2,,,,,,CRA,,,
,,100B02-EE-EML-2.FL-0006,,,Emergency Light,,,,,,,,,Emergency Light No.15,,ชั้น 2 | Zone A,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 2,,,,,,CRA,,,
,,100B02-EE-EML-2.FL-0007,,,Emergency Light,,,,,,,,,Emergency Light No.16,,ชั้น 2 | หน้าลิฟต์ขนของ,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 2,,,,,,CRA,,,
,,100B02-EE-EML-2.FL-0008,,,Emergency Light,,,,,,,,,Emergency Light No.17,,ชั้น 2 | ห้องธุรการ,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 2,,,,,,CRA,,,
,,100B02-EE-EML-2.FL-0009,,,Emergency Light,,,,,,,,,Emergency Light No.18,,ชั้น 2 | หน้าลิฟต์เจ้าหน้าที่,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 2,,,,,,CRA,,,
,,100B02-EE-EML-2.FL-0010,,,Emergency Light,,,,,,,,,Emergency Light No.19,,ชั้น 2 | ทางหนีไฟ ชั้น 2A,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 2,,,,,,CRA,,,
,,100B02-EE-EML-2A.FL-0001,,,Emergency Light,,,,,,,,,Emergency Light No.20,,ชั้น 2A | Zone A,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 2,,,,,,CRA,,,
,,100B02-EE-EML-2A.FL-0002,,,Emergency Light,,,,,,,,,Emergency Light No.21,,ชั้น 2A | Zone A,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 2,,,,,,CRA,,,
,,100B02-EE-EML-2A.FL-0003,,,Emergency Light,,,,,,,,,Emergency Light No.22,,ชั้น 2A | Zone A,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 2,,,,,,CRA,,,
,,100B02-EE-EML-2A.FL-0004,,,Emergency Light,,,,,,,,,Emergency Light No.23,,ชั้น 2A | Zone B,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 2,,,,,,CRA,,,
,,100B02-EE-EML-2A.FL-0005,,,Emergency Light,,,,,,,,,Emergency Light No.24,,ชั้น 2A | Zone B,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 2,,,,,,CRA,,,
,,100B02-EE-EML-3.FL-0001,,,Emergency Light,,,,,,,,,Emergency Light No.25,,ชั้น 3 | Zone B ทิศใต้,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 3,,,,,,CRA,,,
,,100B02-EE-EML-3.FL-0002,,,Emergency Light,,,,,,,,,Emergency Light No.26,,ชั้น 3 | Zone B,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 3,,,,,,CRA,,,
,,100B02-EE-EML-3.FL-0003,,,Emergency Light,,,,,,,,,Emergency Light No.27,,ชั้น 3 | Zone B,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 3,,,,,,CRA,,,
,,100B02-EE-EML-3.FL-0004,,,Emergency Light,,,,,,,,,Emergency Light No.28,,ชั้น 3 | Zone A,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 3,,,,,,CRA,,,
,,100B02-EE-EML-3.FL-0005,,,Emergency Light,,,,,,,,,Emergency Light No.29,,ชั้น 3 | Zone A,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 3,,,,,,CRA,,,
,,100B02-EE-EML-3.FL-0006,,,Emergency Light,,,,,,,,,Emergency Light No.30,,ชั้น 3 | บันไดหนีไฟลานจอด,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 3,,,,,,CRA,,,
,,100B02-EE-EML-3.FL-0007,,,Emergency Light,,,,,,,,,Emergency Light No.31,,ชั้น 3 | หน้าลิฟต์เจ้าหน้าที่,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 3,,,,,,CRA,,,
,,100B02-EE-EML-3.FL-0008,,,Emergency Light,,,,,,,,,Emergency Light No.32,,ชั้น 3 | หน้าลิฟต์ขนของ,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 3,,,,,,CRA,,,
,,100B02-EE-EML-3.FL-0009,,,Emergency Light,,,,,,,,,Emergency Light No.33,,ชั้น 3 | ทางหนีไฟ ชั้น 3,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 3,,,,,,CRA,,,
,,100B02-EE-EML-3.FL-0010,,,Emergency Light,,,,,,,,,Emergency Light No.34,,ชั้น 3 | ทางหนีไฟ ชั้น 3A,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 3,,,,,,CRA,,,
,,100B02-EE-EML-4.FL-0001,,,Emergency Light,,,,,,,,,Emergency Light No.35,,ชั้น 4 | ห้องพักแพทย์ 1,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 4,,,,,,CRA,,,
,,100B02-EE-EML-4.FL-0002,,,Emergency Light,,,,,,,,,Emergency Light No.36,,ชั้น 4 | ห้องพักแพทย์ 2,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 4,,,,,,CRA,,,
,,100B02-EE-EML-4.FL-0003,,,Emergency Light,,,,,,,,,Emergency Light No.37,,ชั้น 4 | หน้าห้องพักแพทย์ 2,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 4,,,,,,CRA,,,
,,100B02-EE-EML-4.FL-0004,,,Emergency Light,,,,,,,,,Emergency Light No.38,,ชั้น 4 | บันไดหนีไฟ ฝั่งB,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 4,,,,,,CRA,,,
,,100B02-EE-EML-4.FL-0005,,,Emergency Light,,,,,,,,,Emergency Light No.39,,ชั้น 4 | ห้องเด็ก 1,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 4,,,,,,CRA,,,
,,100B02-EE-EML-4.FL-0006,,,Emergency Light,,,,,,,,,Emergency Light No.40,,ชั้น 4 | ห้องเด็ก 2,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 4,,,,,,CRA,,,
,,100B02-EE-EML-4.FL-0007,,,Emergency Light,,,,,,,,,Emergency Light No.41,,ชั้น 4 | ห้องเด็ก 3,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 4,,,,,,CRA,,,
,,100B02-EE-EML-4.FL-0008,,,Emergency Light,,,,,,,,,Emergency Light No.42,,ชั้น 4 | ห้องเด็ก 4,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 4,,,,,,CRA,,,
,,100B02-EE-EML-4.FL-0009,,,Emergency Light,,,,,,,,,Emergency Light No.43,,ชั้น 4 | ห้องเด็ก 5,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 4,,,,,,CRA,,,
,,100B02-EE-EML-4.FL-0010,,,Emergency Light,,,,,,,,,Emergency Light No.44,,ชั้น 4 | เครื่องมือแพทย์,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 4,,,,,,CRA,,,
,,100B02-EE-EML-4.FL-0011,,,Emergency Light,,,,,,,,,Emergency Light No.45,,ชั้น 4 | เวชภัณฑ์,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 4,,,,,,CRA,,,
,,100B02-EE-EML-4.FL-0012,,,Emergency Light,,,,,,,,,Emergency Light No.46,,ชั้น 4 | ห้องพนักงาน 1,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 4,,,,,,CRA,,,
,,100B02-EE-EML-4.FL-0013,,,Emergency Light,,,,,,,,,Emergency Light No.47,,ชั้น 4 | ห้องพนักงาน 2,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 4,,,,,,CRA,,,
,,100B02-EE-EML-4.FL-0014,,,Emergency Light,,,,,,,,,Emergency Light No.48,,ชั้น 4 | ห้องพนักงาน 3,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 4,,,,,,CRA,,,
,,100B02-EE-EML-4.FL-0015,,,Emergency Light,,,,,,,,,Emergency Light No.49,,ชั้น 4 | ห้องเรียน + ประชุม,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 4,,,,,,CRA,,,
,,100B02-EE-EML-4.FL-0016,,,Emergency Light,,,,,,,,,Emergency Light No.50,,ชั้น 4 | ห้องออกกำลังกาย,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 4,,,,,,CRA,,,
,,100B02-EE-EML-4.FL-0017,,,Emergency Light,,,,,,,,,Emergency Light No.51,,ชั้น 4 | ห้องออกกำลังกาย,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 4,,,,,,CRA,,,
,,100B02-EE-EML-4.FL-0018,,,Emergency Light,,,,,,,,,Emergency Light No.52,,ชั้น 4 | หน้าห้องเด็ก,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 4,,,,,,CRA,,,
,,100B02-EE-EML-4.FL-0019,,,Emergency Light,,,,,,,,,Emergency Light No.53,,ชั้น 4 | หน้าห้องเวชภัณฑ์,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 4,,,,,,CRA,,,
,,100B02-EE-EML-4.FL-0020,,,Emergency Light,,,,,,,,,Emergency Light No.54,,ชั้น 4 | หน้าลิฟต์เจ้าหน้าที่,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 4,,,,,,CRA,,,
,,100B02-EE-EML-4.FL-0021,,,Emergency Light,,,,,,,,,Emergency Light No.55,,ชั้น 4 | หน้าลิฟต์ขนของ,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 4,,,,,,CRA,,,
,,100B02-EE-EML-4.FL-0022,,,Emergency Light,,,,,,,,,Emergency Light No.56,,ชั้น 4 | ทางหนีไฟ,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 4,,,,,,CRA,,,
,,100B02-EE-EML-4.FL-0023,,,Emergency Light,,,,,,,,,Emergency Light No.57,,ชั้น 4 | หน้าห้องน้ำ,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 4,,,,,,CRA,,,
,,100B02-EE-EML-4.FL-0024,,,Emergency Light,,,,,,,,,Emergency Light No.58,,ชั้น 4 | ห้องเภสัชกรรม,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 4,,,,,,CRA,,,
,,100B02-EE-EML-4.FL-0025,,,Emergency Light,,,,,,,,,Emergency Light No.59,,ชั้น 4 | ห้องเภสัชกรรม,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 4,,,,,,CRA,,,
,,100B02-EE-EML-4.FL-0026,,,Emergency Light,,,,,,,,,Emergency Light No.60,,ชั้น 4 | ห้องประชุม1,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 4,,,,,,CRA,,,
,,100B02-EE-EML-4.FL-0027,,,Emergency Light,,,,,,,,,Emergency Light No.61,,ชั้น 4 | ห้องประชุม3,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 4,,,,,,CRA,,,
,,100B02-EE-EML-4.FL-0028,,,Emergency Light,,,,,,,,,Emergency Light No.62,,ชั้น 4 | ห้องหัวหน้าฝ่ายพยาบาล,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 4,,,,,,CRA,,,
,,100B02-EE-EML-4.FL-0029,,,Emergency Light,,,,,,,,,Emergency Light No.63,,ชั้น 4 | ห้องรองผู้อำนวยการ,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 4,,,,,,CRA,,,
,,100B02-EE-EML-4.FL-0030,,,Emergency Light,,,,,,,,,Emergency Light No.64,,ชั้น 4 | ห้องผู้อำนวยการ,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 4,,,,,,CRA,,,
,,100B02-EE-EML-4.FL-0031,,,Emergency Light,,,,,,,,,Emergency Light No.65,,ชั้น 4 | ห้องเก็บของสำนักงาน,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 4,,,,,,CRA,,,
,,100B02-EE-EML-4.FL-0032,,,Emergency Light,,,,,,,,,Emergency Light No.66,,ชั้น 4 | ห้องประชุมใหญ่,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 4,,,,,,CRA,,,
,,100B02-EE-EML-4.FL-0033,,,Emergency Light,,,,,,,,,Emergency Light No.67,,ชั้น 4 | ห้องประชุมใหญ่,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 4,,,,,,CRA,,,
,,100B02-EE-EML-4.FL-0034,,,Emergency Light,,,,,,,,,Emergency Light No.68,,ชั้น 4 | โถงทางเดินหน้าห้องเภสัชกรรม,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 4,,,,,,CRA,,,
,,100B02-EE-EML-4.FL-0035,,,Emergency Light,,,,,,,,,Emergency Light No.69,,ชั้น 4 | โถงทางเดินหน้าศูนย์เด็ก,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 4,,,,,,CRA,,,
,,100B02-EE-EML-4.FL-0036,,,Emergency Light,,,,,,,,,Emergency Light No.70,,ชั้น 4 | ทางหนีไฟ ชั้น 4,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 4,,,,,,CRA,,,
,,100B02-EE-EML-5.FL-0001,,,Emergency Light,,,,,,,,,Emergency Light No.71,,ชั้น 5 | หน้าลิฟต์เจ้าหน้าที่,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 5,,,,,,CRA,,,
,,100B02-EE-EML-5.FL-0002,,,Emergency Light,,,,,,,,,Emergency Light No.72,,ชั้น 5 | หน้าตู้ดับเพลิงลิฟท์ขนของ,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 5,,,,,,CRA,,,
,,100B02-EE-EML-5.FL-0003,,,Emergency Light,,,,,,,,,Emergency Light No.73,,ชั้น 5 | ทางเดินหน้าห้อง 521,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 5,,,,,,CRA,,,
,,100B02-EE-EML-5.FL-0004,,,Emergency Light,,,,,,,,,Emergency Light No.74,,ชั้น 5 | ทางเดินหน้าห้อง 514,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 5,,,,,,CRA,,,
,,100B02-EE-EML-6.FL-0001,,,Emergency Light,,,,,,,,,Emergency Light No.75,,ชั้น 6 | หน้าลิฟต์เจ้าหน้าที่,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 6,,,,,,CRA,,,
,,100B02-EE-EML-6.FL-0002,,,Emergency Light,,,,,,,,,Emergency Light No.76,,ชั้น 6 | หน้าตู้ดับเพลิงลิฟท์ขนของ,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 6,,,,,,CRA,,,
,,100B02-EE-EML-6.FL-0003,,,Emergency Light,,,,,,,,,Emergency Light No.77,,ชั้น 6 | บันไดหนีไฟ,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 6,,,,,,CRA,,,
,,100B02-EE-EML-6.FL-0004,,,Emergency Light,,,,,,,,,Emergency Light No.78,,ชั้น 6 | ทางเดินหน้าห้อง 622,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 6,,,,,,CRA,,,
