AssetManufacture,AssetModel,AssetNumber,AssetSerialNumber,AssetPartNumber,AssetTypeName,PriorityName,AssetHostName,AssetOS,AssetCPU,AssetRam,AssetHarddisk,AssetIPAddress,AssetMAC,AssetDetail,Remark,AssetLocation,Status,BuyingName,AssetPO,AssetRegisterDate,AssetBuyDate,AssetPriceEx,AssetVAT,AssetVATValue,AssetPrice,AssetAccumulatedDepreciation,AssetSalvageValue,AssetWriteOffDate,NumOfMonthWarranty,AssetStartWarrantyDate,AssetEndWarrantyDate,AssetQuantity,Branch,Zone,Supplier,Owner,CostCenter,CostType,Company,Department,AssetLatLong,AssetGoogleMapUrl
,,100B04-EE-EML-1.FL-0001,,,Emergency Light,,,,,,,,,Emergency Light No.01,,ชั้น 1 | หน้าลิฟต์,,,,,,,,,,,,,,,,,ข้าราชบริพาร (100BED)- ชั้น 1,,,,,,CRA,,,
,,100B04-EE-EML-1.FL-0002,,,Emergency Light,,,,,,,,,Emergency Light No.02,,ชั้น 1 | หน้าห้องรับประทานอาหาร,,,,,,,,,,,,,,,,,ข้าราชบริพาร (100BED)- ชั้น 1,,,,,,CRA,,,
,,100B04-EE-EML-1.FL-0003,,,Emergency Light,,,,,,,,,Emergency Light No.03,,ชั้น 1 | หน้าห้องรับประทานอาหาร,,,,,,,,,,,,,,,,,ข้าราชบริพาร (100BED)- ชั้น 1,,,,,,CRA,,,
,,100B04-EE-EML-1.FL-0004,,,Emergency Light,,,,,,,,,Emergency Light No.04,,ชั้น 1 | บันไดหนีไฟ,,,,,,,,,,,,,,,,,ข้าราชบริพาร (100BED)- ชั้น 1,,,,,,CRA,,,
,,100B04-EE-EML-1.FL-0005,,,Emergency Light,,,,,,,,,Emergency Light No.05,,ชั้น 1 | บันไดหนีไฟ,,,,,,,,,,,,,,,,,ข้าราชบริพาร (100BED)- ชั้น 1,,,,,,CRA,,,
,,100B04-EE-EML-2.FL-0001,,,Emergency Light,,,,,,,,,Emergency Light No.06,,ชั้น 2 | บันไดหนีไฟ,,,,,,,,,,,,,,,,,ข้าราชบริพาร (100BED)- ชั้น 2,,,,,,CRA,,,
,,100B04-EE-EML-2.FL-0002,,,Emergency Light,,,,,,,,,Emergency Light No.07,,ชั้น 2 | บันไดหนีไฟ,,,,,,,,,,,,,,,,,ข้าราชบริพาร (100BED)- ชั้น 2,,,,,,CRA,,,
,,100B04-EE-EML-2.FL-0003,,,Emergency Light,,,,,,,,,Emergency Light No.08,,ชั้น 2 | ศูนย์อาหาร,,,,,,,,,,,,,,,,,ข้าราชบริพาร (100BED)- ชั้น 2,,,,,,CRA,,,
,,100B04-EE-EML-2.FL-0004,,,Emergency Light,,,,,,,,,Emergency Light No.09,,ชั้น 2 | ศูนย์อาหาร,,,,,,,,,,,,,,,,,ข้าราชบริพาร (100BED)- ชั้น 2,,,,,,CRA,,,
,,100B04-EE-EML-2.FL-0005,,,Emergency Light,,,,,,,,,Emergency Light No.10,,ชั้น 2 | ศูนย์อาหาร,,,,,,,,,,,,,,,,,ข้าราชบริพาร (100BED)- ชั้น 2,,,,,,CRA,,,
,,100B04-EE-EML-2.FL-0006,,,Emergency Light,,,,,,,,,Emergency Light No.11,,ชั้น 2 | ศูนย์อาหาร,,,,,,,,,,,,,,,,,ข้าราชบริพาร (100BED)- ชั้น 2,,,,,,CRA,,,
,,100B04-EE-EML-2.FL-0007,,,Emergency Light,,,,,,,,,Emergency Light No.12,,ชั้น 2 | ห้องล้างจาน,,,,,,,,,,,,,,,,,ข้าราชบริพาร (100BED)- ชั้น 2,,,,,,CRA,,,
,,100B04-EE-EML-2.FL-0008,,,Emergency Light,,,,,,,,,Emergency Light No.13,,ชั้น 2 | ห้องครัว,,,,,,,,,,,,,,,,,ข้าราชบริพาร (100BED)- ชั้น 2,,,,,,CRA,,,
,,100B04-EE-EML-2.FL-0009,,,Emergency Light,,,,,,,,,Emergency Light No.14,,ชั้น 2 | ห้องน้ำชาย,,,,,,,,,,,,,,,,,ข้าราชบริพาร (100BED)- ชั้น 2,,,,,,CRA,,,
,,100B04-EE-EML-2.FL-0010,,,Emergency Light,,,,,,,,,Emergency Light No.15,,ชั้น 2 | ห้องน้ำคนพิการ,,,,,,,,,,,,,,,,,ข้าราชบริพาร (100BED)- ชั้น 2,,,,,,CRA,,,
,,100B04-EE-EML-2.FL-0011,,,Emergency Light,,,,,,,,,Emergency Light No.16,,ชั้น 2 | ห้องน้ำหญิง,,,,,,,,,,,,,,,,,ข้าราชบริพาร (100BED)- ชั้น 2,,,,,,CRA,,,
,,100B04-EE-EML-2.FL-0012,,,Emergency Light,,,,,,,,,Emergency Light No.17,,ชั้น 2 | หน้าลิฟท์ชั้น 2,,,,,,,,,,,,,,,,,ข้าราชบริพาร (100BED)- ชั้น 2,,,,,,CRA,,,
,,100B04-EE-EML-3.FL-0001,,,Emergency Light,,,,,,,,,Emergency Light No.18,,ชั้น 3 | หน้าลิฟต์,,,,,,,,,,,,,,,,,ข้าราชบริพาร (100BED)- ชั้น 3,,,,,,CRA,,,
,,100B04-EE-EML-3.FL-0002,,,Emergency Light,,,,,,,,,Emergency Light No.19,,ชั้น 3 | ประตูทางเข้า,,,,,,,,,,,,,,,,,ข้าราชบริพาร (100BED)- ชั้น 3,,,,,,CRA,,,
,,100B04-EE-EML-3.FL-0003,,,Emergency Light,,,,,,,,,Emergency Light No.20,,ชั้น 3 | ห้องโถง,,,,,,,,,,,,,,,,,ข้าราชบริพาร (100BED)- ชั้น 3,,,,,,CRA,,,
,,100B04-EE-EML-3.FL-0004,,,Emergency Light,,,,,,,,,Emergency Light No.21,,ชั้น 3 | ห้องโถง,,,,,,,,,,,,,,,,,ข้าราชบริพาร (100BED)- ชั้น 3,,,,,,CRA,,,
,,100B04-EE-EML-3.FL-0005,,,Emergency Light,,,,,,,,,Emergency Light No.22,,ชั้น 3 | ห้องตรวจ 1,,,,,,,,,,,,,,,,,ข้าราชบริพาร (100BED)- ชั้น 3,,,,,,CRA,,,
,,100B04-EE-EML-3.FL-0006,,,Emergency Light,,,,,,,,,Emergency Light No.23,,ชั้น 3 | ห้องตรวจ 2,,,,,,,,,,,,,,,,,ข้าราชบริพาร (100BED)- ชั้น 3,,,,,,CRA,,,
,,100B04-EE-EML-3.FL-0007,,,Emergency Light,,,,,,,,,Emergency Light No.24,,ชั้น 3 | ห้องตรวจ 3,,,,,,,,,,,,,,,,,ข้าราชบริพาร (100BED)- ชั้น 3,,,,,,CRA,,,
,,100B04-EE-EML-3.FL-0008,,,Emergency Light,,,,,,,,,Emergency Light No.25,,ชั้น 3 | ห้องเจาะเลือด,,,,,,,,,,,,,,,,,ข้าราชบริพาร (100BED)- ชั้น 3,,,,,,CRA,,,
,,100B04-EE-EML-3.FL-0009,,,Emergency Light,,,,,,,,,Emergency Light No.26,,ชั้น 3 | ห้องน้ำชาย,,,,,,,,,,,,,,,,,ข้าราชบริพาร (100BED)- ชั้น 3,,,,,,CRA,,,
