AssetManufacture,AssetModel,AssetNumber,AssetSerialNumber,AssetPartNumber,AssetTypeName,PriorityName,AssetHostName,AssetOS,AssetCPU,AssetRam,AssetHarddisk,AssetIPAddress,AssetMAC,AssetDetail,Remark,AssetLocation,Status,BuyingName,AssetPO,AssetRegisterDate,AssetBuyDate,AssetPriceEx,AssetVAT,AssetVATValue,AssetPrice,AssetAccumulatedDepreciation,AssetSalvageValue,AssetWriteOffDate,NumOfMonthWarranty,AssetStartWarrantyDate,AssetEndWarrantyDate,AssetQuantity,Branch,Zone,Supplier,Owner,CostCenter,CostType,Company,Department,AssetLatLong,AssetGoogleMapUrl
,,100B03-EE-EML-B.FL-0001,,,Emergency Light,,,,,,,,,Emergency Light No.01,,ชั้น B | หน้าลิฟต์,,,,,,,,,,,,,,,,,บริการกลางชั้นB,,,,,,CRA,,,
,,100B03-EE-EML-1.FL-0001,,,Emergency Light,,,,,,,,,Emergency Light No.02,,ชั้น 1 | ห้องขยะ,,,,,,,,,,,,,,,,,บริการกลางชั้น1,,,,,,CRA,,,
,,100B03-EE-EML-1.FL-0002,,,Emergency Light,,,,,,,,,Emergency Light No.03,,ชั้น 1 | ห้องคอนโทรล,,,,,,,,,,,,,,,,,บริการกลางชั้น1,,,,,,CRA,,,
,,100B03-EE-EML-1.FL-0003,,,Emergency Light,,,,,,,,,Emergency Light No.04,,ชั้น 1 | ห้อง MDB,,,,,,,,,,,,,,,,,บริการกลางชั้น1,,,,,,CRA,,,
,,100B03-EE-EML-1.FL-0004,,,Emergency Light,,,,,,,,,Emergency Light No.05,,ชั้น 1 | ห้อง GEN,,,,,,,,,,,,,,,,,บริการกลางชั้น1,,,,,,CRA,,,
,,100B03-EE-EML-1.FL-0005,,,Emergency Light,,,,,,,,,Emergency Light No.06,,ชั้น 1 | หน้าห้องคอนโทรล,,,,,,,,,,,,,,,,,บริการกลางชั้น1,,,,,,CRA,,,
,,100B03-EE-EML-1.FL-0006,,,Emergency Light,,,,,,,,,Emergency Light No.07,,ชั้น 1 | บันไดหนีไฟ,,,,,,,,,,,,,,,,,บริการกลางชั้น1,,,,,,CRA,,,
,,100B03-EE-EML-2.FL-0001,,,Emergency Light,,,,,,,,,Emergency Light No.08,,ชั้น 2 | ห้องประชุม,,,,,,,,,,,,,,,,,บริการกลางชั้น2,,,,,,CRA,,,
,,100B03-EE-EML-2.FL-0002,,,Emergency Light,,,,,,,,,Emergency Light No.09,,ชั้น 2 | ห้องพระ,,,,,,,,,,,,,,,,,บริการกลางชั้น2,,,,,,CRA,,,
,,100B03-EE-EML-2.FL-0003,,,Emergency Light,,,,,,,,,Emergency Light No.10,,ชั้น 2 | หน้าห้องพระ,,,,,,,,,,,,,,,,,บริการกลางชั้น2,,,,,,CRA,,,
,,100B03-EE-EML-2.FL-0004,,,Emergency Light,,,,,,,,,Emergency Light No.11,,ชั้น 2 | ทางหนีไฟ,,,,,,,,,,,,,,,,,บริการกลางชั้น2,,,,,,CRA,,,
,,100B03-EE-EML-2.FL-0005,,,Emergency Light,,,,,,,,,Emergency Light No.12,,ชั้น 2 | หน้าห้องศพ,,,,,,,,,,,,,,,,,บริการกลางชั้น2,,,,,,CRA,,,
,,100B03-EE-EML-2.FL-0006,,,Emergency Light,,,,,,,,,Emergency Light No.13,,ชั้น 2 | ข้างห้องศพ,,,,,,,,,,,,,,,,,บริการกลางชั้น2,,,,,,CRA,,,
,,100B03-EE-EML-2.FL-0007,,,Emergency Light,,,,,,,,,Emergency Light No.14,,ชั้น 2 | ในห้องเก็บศพ,,,,,,,,,,,,,,,,,บริการกลางชั้น2,,,,,,CRA,,,
,,100B03-EE-EML-2.FL-0008,,,Emergency Light,,,,,,,,,Emergency Light No.15,,ชั้น 2 | ในห้องเก็บศพ,,,,,,,,,,,,,,,,,บริการกลางชั้น2,,,,,,CRA,,,
,,100B03-EE-EML-3.FL-0001,,,Emergency Light,,,,,,,,,Emergency Light No.16,,ชั้น 3 | ทางหนีไฟ,,,,,,,,,,,,,,,,,บริการกลางชั้น3,,,,,,CRA,,,
,,100B03-EE-EML-3.FL-0002,,,Emergency Light,,,,,,,,,Emergency Light No.17,,ชั้น 3 | หน้าลิฟต์,,,,,,,,,,,,,,,,,บริการกลางชั้น3,,,,,,CRA,,,
,,100B03-EE-EML-3.FL-0003,,,Emergency Light,,,,,,,,,Emergency Light No.18,,ชั้น 3 | ข้างห้อง Linen,,,,,,,,,,,,,,,,,บริการกลางชั้น3,,,,,,CRA,,,
,,100B03-EE-EML-3.FL-0004,,,Emergency Light,,,,,,,,,Emergency Light No.19,,ชั้น 3 | ห้อง Office,,,,,,,,,,,,,,,,,บริการกลางชั้น3,,,,,,CRA,,,
,,100B03-EE-EML-3.FL-0005,,,Emergency Light,,,,,,,,,Emergency Light No.20,,ชั้น 3 | ห้อง Linen,,,,,,,,,,,,,,,,,บริการกลางชั้น3,,,,,,CRA,,,
,,100B03-EE-EML-3.FL-0006,,,Emergency Light,,,,,,,,,Emergency Light No.21,,ชั้น 3 | ห้องล้างอุปกรณ์,,,,,,,,,,,,,,,,,บริการกลางชั้น3,,,,,,CRA,,,
,,100B03-EE-EML-3.FL-0007,,,Emergency Light,,,,,,,,,Emergency Light No.22,,ชั้น 3 | ห้องล้างเครื่องมือ,,,,,,,,,,,,,,,,,บริการกลางชั้น3,,,,,,CRA,,,
,,100B03-EE-EML-4.FL-0001,,,Emergency Light,,,,,,,,,Emergency Light No.23,,ชั้น 4 | ห้องชิลเลอร์,,,,,,,,,,,,,,,,,บริการกลางชั้น4,,,,,,CRA,,,
,,100B03-EE-EML-4.FL-0002,,,Emergency Light,,,,,,,,,Emergency Light No.24,,ชั้น 4 | ห้องชิลเลอร์,,,,,,,,,,,,,,,,,บริการกลางชั้น4,,,,,,CRA,,,
,,100B03-EE-EML-4.FL-0003,,,Emergency Light,,,,,,,,,Emergency Light No.25,,ชั้น 4 | ห้องชิลเลอร์,,,,,,,,,,,,,,,,,บริการกลางชั้น4,,,,,,CRA,,,
,,100B03-EE-EML-4.FL-0004,,,Emergency Light,,,,,,,,,Emergency Light No.26,,ชั้น 4 | หน้าห้องชิลเลอร์,,,,,,,,,,,,,,,,,บริการกลางชั้น4,,,,,,CRA,,,
,,100B03-EE-EML-4.FL-0005,,,Emergency Light,,,,,,,,,Emergency Light No.27,,ชั้น 4 | ทางหนีไฟ,,,,,,,,,,,,,,,,,บริการกลางชั้น4,,,,,,CRA,,,
,,100B03-EE-EML-5.FL-0001,,,Emergency Light,,,,,,,,,Emergency Light No.28,,ชั้น 5 | ทางหนีไฟ,,,,,,,,,,,,,,,,,บริการกลางชั้น5,,,,,,CRA,,,
,,100B03-EE-EML-5.FL-0002,,,Emergency Light,,,,,,,,,Emergency Light No.29,,ชั้น 5 | หน้าห้องฝ่ายอาคาร,,,,,,,,,,,,,,,,,บริการกลางชั้น5,,,,,,CRA,,,
,,100B03-EE-EML-RF.FL-0001,,,Emergency Light,,,,,,,,,Emergency Light No.30,,ชั้น RF | ดาดฟ้าห้องลิฟต์,,,,,,,,,,,,,,,,,บริการกลางชั้นRF,,,,,,CRA,,,
,,100B03-EE-EML-RF.FL-0002,,,Emergency Light,,,,,,,,,Emergency Light No.31,,ชั้น RF | ทางหนีไฟ,,,,,,,,,,,,,,,,,บริการกลางชั้นRF,,,,,,CRA,,,
