AssetManufacture,AssetModel,AssetNumber,AssetSerialNumber,AssetPartNumber,AssetTypeName,PriorityName,AssetHostName,AssetOS,AssetCPU,AssetRam,AssetHarddisk,AssetIPAddress,AssetMAC,AssetDetail,Remark,AssetLocation,Status,BuyingName,AssetPO,AssetRegisterDate,AssetBuyDate,AssetPriceEx,AssetVAT,AssetVATValue,AssetPrice,AssetAccumulatedDepreciation,AssetSalvageValue,AssetWriteOffDate,NumOfMonthWarranty,AssetStartWarrantyDate,AssetEndWarrantyDate,AssetQuantity,Branch,Zone,Supplier,Owner,CostCenter,CostType,Company,Department,AssetLatLong,AssetGoogleMapUrl
,,100B02-EE-EXL-1.FL-0001,,,Exit Sign Light,,,,,,,,,Exit Sign Light No.1,,ชั้น 1 | ประตูหนีไฟ 1A-2,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 1,,,,,,CRA,,,
,,100B02-EE-EXL-1.FL-0002,,,Exit Sign Light,,,,,,,,,Exit Sign Light No.2,,ชั้น 1 | บันไดทางเดินขึ้นชั้น2,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 1,,,,,,CRA,,,
,,100B02-EE-EXL-1.FL-0003,,,Exit Sign Light,,,,,,,,,Exit Sign Light No.3,,ชั้น 1 | ทางหนีไฟทิศใต้,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 1,,,,,,CRA,,,
,,100B02-EE-EXL-2.FL-0001,,,Exit Sign Light,,,,,,,,,Exit Sign Light No.4,,ชั้น 2 | ประตูหนีไฟ 2-2,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 2,,,,,,CRA,,,
,,100B02-EE-EXL-2.FL-0002,,,Exit Sign Light,,,,,,,,,Exit Sign Light No.5,,ชั้น 2 | ประตูหนีไฟ 2A-2,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 2,,,,,,CRA,,,
,,100B02-EE-EXL-2.FL-0003,,,Exit Sign Light,,,,,,,,,Exit Sign Light No.6,,ชั้น 2 | ลานจอดทิศเหนือ,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 2,,,,,,CRA,,,
,,100B02-EE-EXL-2A.FL-0001,,,Exit Sign Light,,,,,,,,,Exit Sign Light No.7,,ชั้น 2A | Zone B,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 2,,,,,,CRA,,,
,,100B02-EE-EXL-2A.FL-0002,,,Exit Sign Light,,,,,,,,,Exit Sign Light No.8,,ชั้น 2A | Zone A,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 2,,,,,,CRA,,,
,,100B02-EE-EXL-3.FL-0001,,,Exit Sign Light,,,,,,,,,Exit Sign Light No.9,,ชั้น 3 | ลานจอดทิศเหนือ,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 3,,,,,,CRA,,,
,,100B02-EE-EXL-3.FL-0002,,,Exit Sign Light,,,,,,,,,Exit Sign Light No.10,,ชั้น 3 | ทางหนีไฟทิศใต้,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 3,,,,,,CRA,,,
,,100B02-EE-EXL-4.FL-0001,,,Exit Sign Light,,,,,,,,,Exit Sign Light No.11,,ชั้น 4 | ทางเดินหนีไฟทิศเหนือ,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 4,,,,,,CRA,,,
,,100B02-EE-EXL-4.FL-0002,,,Exit Sign Light,,,,,,,,,Exit Sign Light No.12,,ชั้น 4 | ทางเดินกลาง,,,,,,,,,,,,,,,,,หอพักฯ 100B-ชั้น 4,,,,,,CRA,,,
